symbol,status,best_model,horizon,accuracy,precision,recall,f1,train_rows,test_rows,elapsed_s,error
HDFCBANK.NS,ok,LGB_HiReg,6 Months,0.8262,0.8182,0.0833,0.1513,0,0,95.3,
AADHARHFC.NS,ok,Ensemble,2 Weeks,0.8249,0.6875,0.0866,0.1538,0,0,53.2,
AAVAS.NS,error,,,0.0,0.0,0.0,0.0,0,0,146.1,'fwd'
AAVAS.NS,ok,StackEnsemble,2 Weeks,0.7832,1.0,0.0506,0.0964,0,0,172.5,
360ONE.NS,ok,StackEnsemble,1 Month,0.7857,0.7778,0.0787,0.1429,0,0,281.2,
3MINDIA.NS,below_threshold,RandForest,2 Months,0.8383,0.4848,0.0,0.0,0,0,260.0,
AARTIIND.NS,ok,XGBoost,1 Week,0.7009,0.8519,0.1503,0.2556,0,0,149.5,
360ONE.NS,ok,RandForest,6 Months,0.8003,0.6226,0.22,0.3251,0,0,291.1,
3MINDIA.NS,below_threshold,RandForest,2 Months,0.8388,0.4848,0.0,0.0,0,0,255.0,
AADHARHFC.NS,ok,Ensemble,2 Weeks,0.8228,0.7,0.0551,0.1022,0,0,26.4,
AARTIIND.NS,ok,XGBoost,1 Week,0.7029,0.8519,0.1503,0.2556,0,0,142.6,
AAVAS.NS,ok,StackEnsemble,2 Months,0.8494,0.8333,0.2419,0.375,0,0,118.8,
ABB.NS,ok,RandForest,2 Months,0.7575,0.7692,0.1648,0.2715,0,0,275.1,
ABBOTINDIA.NS,below_threshold,XGBoost,2 Months,0.8268,0.5,0.0,0.0,0,0,150.6,
ABCAPITAL.NS,ok,StackEnsemble,1 Week,0.7057,0.75,0.0561,0.1043,0,0,161.0,
ABFRL.NS,below_threshold,TabNet,1 Month,0.7602,0.5319,0.0,0.0,0,0,139.9,
ABLBL.NS,no_data,,,0.0,0.0,0.0,0.0,0,0,0.2,
ABREL.NS,ok,Ensemble,1 Month,0.7281,0.6875,0.0573,0.1058,0,0,146.0,
ABSLAMC.NS,ok,StackEnsemble,1 Month,0.6287,0.7778,0.053,0.0993,0,0,170.9,
ACC.NS,ok,XGBoost,2 Months,0.9013,0.8571,0.0632,0.1176,0,0,154.2,
ACE.NS,ok,Ensemble,1 Week,0.7339,0.6111,0.0579,0.1058,0,0,150.5,
ACMESOLAR.NS,no_data,,,0.0,0.0,0.0,0.0,0,0,0.2,
ADANIENSOL.NS,ok,RandForest,6 Months,0.8065,0.8856,0.6642,0.7591,0,0,166.5,
ADANIENT.NS,ok,StackEnsemble,2 Months,0.6777,1.0,0.0855,0.1575,0,0,163.1,
ADANIGREEN.NS,ok,XGBoost,1 Month,0.7003,1.0,0.0929,0.17,0,0,161.3,
ADANIPORTS.NS,ok,RandForest,3 Months,0.7376,0.7632,0.1534,0.2555,0,0,166.0,
ADANIPOWER.NS,ok,StackEnsemble,6 Months,0.7671,0.7184,0.8681,0.7862,0,0,172.0,
AEGISLOG.NS,ok,RandForest,2 Months,0.8,0.7097,0.1507,0.2486,0,0,154.8,
AEGISVOPAK.NS,no_data,,,0.0,0.0,0.0,0.0,0,0,0.2,
AFCONS.NS,no_data,,,0.0,0.0,0.0,0.0,0,0,0.2,
AFFLE.NS,ok,XGB_HiReg,6 Months,0.8955,0.7389,0.9048,0.8135,0,0,164.3,
AGARWALEYE.NS,no_data,,,0.0,0.0,0.0,0.0,0,0,0.2,
AIAENG.NS,ok,CatBoost,3 Months,0.8061,0.7121,0.2338,0.3521,0,0,249.1,
AIIL.NS,ok,StackEnsemble,1 Month,0.7047,0.8571,0.0566,0.1062,0,0,25.2,
AJANTPHARM.NS,below_threshold,Ensemble,3 Months,0.8028,0.5238,0.0,0.0,0,0,158.0,
AKUMS.NS,ok,XGBoost,2 Weeks,0.7767,0.9231,0.0723,0.1341,0,0,15.2,
AKZOINDIA.NS,below_threshold,TabNet,2 Months,0.7937,0.44,0.0,0.0,0,0,172.1,
ALKEM.NS,ok,Ensemble,6 Months,0.851,0.8421,0.16,0.2689,0,0,163.6,
ALKYLAMINE.NS,below_threshold,StackEnsemble,3 Months,0.8199,0.5714,0.0,0.0,0,0,161.9,
ALOKINDS.NS,ok,StackEnsemble,2 Weeks,0.8703,1.0,0.0625,0.1176,0,0,154.8,
AMBER.NS,ok,RandForest,3 Months,0.677,0.7778,0.1765,0.2877,0,0,172.1,
AMBUJACEM.NS,ok,StackEnsemble,3 Months,0.9845,0.8,0.5,0.6154,0,0,151.9,
ANANDRATHI.NS,ok,RandForest,3 Months,0.9239,1.0,0.0577,0.1091,0,0,156.8,
ANANTRAJ.NS,below_threshold,Ensemble,1 Month,0.7018,0.5714,0.0,0.0,0,0,147.9,
ANGELONE.NS,ok,XGBoost,3 Months,0.7904,0.7094,0.7642,0.7358,0,0,167.1,
APARINDS.NS,ok,StackEnsemble,6 Months,0.7055,0.7219,0.7578,0.7394,0,0,170.6,
